id,استان,شهرستان,جمع,مرد,زن,شهری,روستایی
01,البرز,کرج," 1,842.3 ", 929.7 , 912.7 ," 1,810.8 ", 31.5 
28,خوزستان,کرخه, 68.9 , 35.3 , 33.6 , 16.0 , 52.9 
02,کرمانشاه,کرمانشاه," 1,153.3 ", 582.5 , 570.8 ," 1,032.0 ", 121.3 
28,مازندران,کلاردشت, 25.6 , 12.9 , 12.7 , 14.0 , 11.7 
15,آذربايجان شرقي,کليبر, 44.1 , 23.1 , 21.0 , 11.9 , 32.2 
11,مرکزي,کميجان, 34.2 , 17.4 , 16.7 , 18.1 , 16.1 
09,سيستان وبلوچستان,کنارک, 93.2 , 51.4 , 41.7 , 54.2 , 39.0 
07,کرمانشاه,کنگاور, 72.8 , 36.6 , 36.3 , 54.1 , 18.7 
03,قم,کهک, 19.2 , 9.9 , 9.3 , 5.9 , 13.3 
28,فارس,کوار, 89.0 , 45.5 , 43.6 , 49.2 , 39.8 
33,فارس,کوه چنار, 55.9 , 27.9 , 28.0 , 30.8 , 25.1 
25,اصفهان,کوهپايه, 24.4 , 12.1 , 12.3 , 16.0 , 8.3 
06,لرستان,کوهدشت, 160.6 , 80.9 , 79.8 , 100.9 , 59.8 
06,چهارمحال وبختياري,کوهرنگ, 45.3 , 23.2 , 22.1 , 5.9 , 39.4 
41,خراسان رضوئ,کوهسرخ, 25.5 , 12.7 , 12.7 , 5.7 , 19.8 
07,چهارمحال وبختياري,کيار, 50.1 , 25.5 , 24.6 , 25.2 , 24.8 
14,گلستان,گاليكش, 66.2 , 33.3 , 32.9 , 28.2 , 38.0 
20,خوزستان,گتوند, 67.1 , 34.5 , 32.6 , 46.8 , 20.3 
03,كهگيلويه وبويراحمد,گچساران, 128.3 , 64.5 , 63.8 , 100.3 , 28.0 
27,فارس,گراش, 57.5 , 29.5 , 28.1 , 39.5 , 18.0 
05,گلستان,گرگان, 511.1 , 255.7 , 255.4 , 407.1 , 104.0 
04,سمنان,گرمسار, 86.2 , 43.3 , 42.9 , 69.8 , 16.4 
07,خراسان شمالي,گرمه, 26.7 , 13.7 , 13.1 , 20.6 , 6.1 
05,اردبيل,گرمي, 52.7 , 26.6 , 26.1 , 28.1 , 24.6 
44,خراسان رضوئ,گلبهار, 100.3 , 51.3 , 48.9 , 75.9 , 24.4 
11,اصفهان,گلپايگان, 93.6 , 47.5 , 46.1 , 78.9 , 14.7 
24,سيستان وبلوچستان,گلشن, 37.1 , 18.2 , 18.8 , 21.3 , 15.8 
22,مازندران,گلوگاه, 39.4 , 19.8 , 19.5 , 21.2 , 18.1 
13,گلستان,گميشان, 74.0 , 37.3 , 36.7 , 40.7 , 33.3 
15,خراسان رضوئ,گناباد, 97.0 , 48.3 , 48.8 , 57.5 , 39.5 
07,بوشهر,گناوه, 109.5 , 55.7 , 53.8 , 85.9 , 23.6 
06,گلستان,گنبدكاووس, 369.4 , 185.2 , 184.3 , 174.1 , 195.3 
08,کرمانشاه,گيلانغرب, 52.7 , 26.2 , 26.5 , 26.0 , 26.7 
11,فارس,لارستان, 167.6 , 84.2 , 83.4 , 105.3 , 62.3 
25,سيستان وبلوچستان,لاشار, 37.9 , 19.0 , 18.9 , 6.2 , 31.7 
17,خوزستان,لالي, 37.7 , 19.4 , 18.3 , 18.9 , 18.8 
15,فارس,لامرد, 97.0 , 48.0 , 49.0 , 52.8 , 44.2 
11,گيلان,لاهيجان, 166.8 , 83.5 , 83.3 , 110.4 , 56.4 
04,چهارمحال وبختياري,لردگان, 160.8 , 80.9 , 79.9 , 54.8 , 106.0 
12,اصفهان,لنجان, 278.8 , 140.4 , 138.3 , 254.3 , 24.5 
08,كهگيلويه وبويراحمد,لنده, 21.8 , 10.9 , 10.9 , 12.8 , 9.0 
10,گيلان,لنگرود, 143.1 , 72.0 , 71.0 , 106.5 , 36.6 
09,كهگيلويه وبويراحمد,مارگون, 19.8 , 10.0 , 9.8 , 3.3 , 16.5 
16,گيلان,ماسال, 52.0 , 25.8 , 26.2 , 26.3 , 25.7 
06,آذربايجان غربي,ماكو, 100.3 , 51.4 , 48.8 , 59.8 , 40.5 
06,خراسان شمالي,مانه وسملقان, 100.4 , 50.7 , 49.7 , 35.6 , 64.8 
09,زنجان,ماهنشان, 39.8 , 20.2 , 19.6 , 11.0 , 28.9 
17,اصفهان,مبارکه, 156.6 , 79.9 , 76.7 , 135.6 , 21.0 
09,مرکزي,محلات, 57.8 , 29.3 , 28.5 , 53.9 , 3.9 
18,مازندران,محمودآباد, 98.3 , 49.6 , 48.8 , 38.4 , 60.0 
06,آذربايجان شرقي,مراغه, 272.4 , 137.9 , 134.5 , 183.9 , 88.5 
12,گلستان,مراوه تپه, 62.7 , 31.1 , 31.5 , 11.7 , 50.9 
07,آذربايجان شرقي,مرند, 249.0 , 126.7 , 122.3 , 161.2 , 87.8 
